model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,123,0.08586175766858188,97.77777777777777,9680,9900,1.0542031765572417
36,123,0.07271218324249441,98.28282828282828,9730,9900,1.2340107633903392
58,123,0.09545857071274459,97.54545454545455,9657,9900,1.3074343883324744
71,123,0.038510229385862446,99.0909090909091,9810,9900,1.2105290862429274
global,123,0.026105741766667124,99.42424242424242,9843,9900
13,124,0.0819070725127904,97.98989898989899,9701,9900,1.1012889982456286
36,124,0.05993617756198151,98.53535353535354,9755,9900,1.1863378057753728
58,124,0.10791217478838834,97.22222222222221,9625,9900,1.3095492845592238
71,124,0.034880382344879286,99.15151515151514,9816,9900,1.2638467611667443
global,124,0.029717673782748404,99.37373737373737,9838,9900
13,125,0.048152473021035244,98.84848484848486,9786,9900,1.122308372164092
36,125,0.05634094677338696,98.61616161616162,9763,9900,1.2509170506159342
58,125,0.027647683335976166,99.28282828282829,9829,9900,1.276270050578793
71,125,0.04468117169960581,98.88888888888889,9790,9900,1.201775574363017
global,125,0.028193507679183074,99.4040404040404,9841,9900
13,126,0.06892601575815316,98.16161616161617,9718,9900,0.9874066791622228
36,126,0.05372739202145374,98.76767676767678,9778,9900,1.2049480844133023
58,126,0.09432110377634415,97.53535353535354,9656,9900,1.2941448475279174
71,126,0.07349157577813274,98.13131313131314,9715,9900,1.1788754225960594
global,126,0.027357612852797364,99.41414141414141,9842,9900
13,127,0.04785306357073062,98.92929292929293,9794,9900,1.0870245562905645
36,127,0.029888919138095594,99.24242424242425,9825,9900,1.1831726231489337
58,127,0.010560730159132168,99.69696969696969,9870,9900,1.3209687357111517
71,127,0.018257844725040474,99.60606060606061,9861,9900,1.199270638700812
global,127,0.024303320604141313,99.47474747474747,9848,9900
13,128,0.05334162989499593,98.73737373737373,9775,9900,1.0264691593463056
36,128,0.06314778535052984,98.46464646464646,9748,9900,1.2433444699069054
58,128,0.06203969185400491,98.43434343434343,9745,9900,1.259851449807828
71,128,0.06244423803054925,98.38383838383838,9740,9900,1.1446009279464968
global,128,0.024579321377807193,99.4949494949495,9850,9900
13,129,0.06884081948887218,98.33333333333333,9735,9900,1.056469746591137
36,129,0.026252225657755677,99.42424242424242,9843,9900,1.232502591592722
58,129,0.1245191455128217,96.84848484848484,9588,9900,1.2937873945498706
71,129,0.06252269287302037,98.51515151515152,9753,9900,1.1439922743216322
global,129,0.023784434239972722,99.51515151515152,9852,9900
13,130,0.01674551953495753,99.62626262626263,9863,9900,1.0786225097040423
36,130,0.043416016061197625,98.91919191919192,9793,9900,1.2132182638567617
58,130,0.07804230523229849,98.14141414141415,9716,9900,1.2446939863667579
71,130,0.03180060867182534,99.2121212121212,9822,9900,1.1432962361722485
global,130,0.021805647358749854,99.51515151515152,9852,9900
13,131,0.07507021030994376,98.14141414141415,9716,9900,1.0472881014502504
36,131,0.04578462508742255,98.92929292929293,9794,9900,1.1586253022355975
58,131,0.02913096149687213,99.3030303030303,9831,9900,1.2604110602051861
71,131,0.053009457108047275,98.69696969696969,9771,9900,1.1215526425833762
